time,temperature,humidity
15:39:06,28.4,36.2
15:39:10,28.4,35.8
15:39:15,28.4,35.6
15:39:20,28.5,35.5
15:39:25,28.5,35.6
15:39:30,28.5,35.6
15:39:35,28.5,35.4
15:39:40,28.5,35.4
15:39:45,28.5,35.2
15:39:50,28.5,35.0
15:39:55,28.5,35.1
15:40:00,28.5,35.1
15:40:05,28.5,35.0
15:40:10,28.5,35.0
15:40:15,28.5,34.7
15:40:20,28.5,34.6
15:40:25,28.5,34.9
15:40:30,28.5,35.0
15:40:35,28.5,35.1
15:40:40,28.5,35.0
15:40:45,28.5,35.0
15:40:50,28.5,35.1
15:40:55,28.5,35.1
15:41:00,28.5,35.1
15:41:05,28.5,35.0
15:41:10,28.5,35.0
15:41:15,28.5,34.8
15:41:20,28.5,35.0
15:41:25,28.4,35.0
15:41:30,28.5,34.9
15:41:35,28.4,35.0
15:41:40,28.4,34.8
15:41:45,28.4,34.9
15:41:50,28.4,35.0
15:41:55,28.4,35.0
15:42:00,28.4,35.2
15:42:05,28.4,35.2
15:42:11,28.5,35.1
15:42:16,28.5,35.0
15:42:21,28.5,35.1
15:42:26,28.4,35.2
15:42:31,28.4,35.2
15:42:36,28.4,35.2
15:42:41,28.4,34.5
15:42:46,28.5,34.9
15:42:51,28.4,34.8
15:42:56,28.4,35.0
15:43:01,28.4,34.8
15:43:06,28.4,34.8
15:43:11,28.5,34.8
15:44:11,28.4,34.8
15:44:16,28.5,34.8
15:44:21,28.5,34.8
15:44:26,28.4,34.9
15:44:31,28.4,34.9
15:44:36,28.5,35.1
15:44:41,28.5,35.0
15:44:46,28.5,34.7
15:44:51,28.4,34.8
15:44:56,28.4,34.8
15:45:01,28.5,34.9
15:45:06,28.4,34.8
15:46:11,28.5,35.2
15:46:16,28.4,35.3
15:46:21,28.4,35.1
15:46:26,28.4,35.1
15:46:31,28.4,34.9
15:46:36,28.4,35.2
15:46:41,28.4,35.1
15:46:46,28.4,35.1
15:46:51,28.4,35.2
15:46:56,28.4,35.1
15:47:01,28.4,35.0
15:47:06,28.4,35.1
15:47:11,28.4,35.2
15:47:16,28.4,35.2
15:47:21,28.4,35.0
15:47:26,28.4,35.2
15:47:31,28.4,34.9
15:47:36,28.4,35.0
15:47:41,28.4,35.1
15:47:46,28.5,35.1
15:47:51,28.4,35.1
15:47:56,28.4,35.0
15:48:01,28.4,35.0
15:48:06,28.4,35.0
15:48:11,28.4,35.0
15:48:16,28.5,35.0
15:48:21,28.4,35.1
15:48:26,28.4,35.0
15:48:31,28.4,35.0
15:48:36,28.5,35.1
15:48:41,28.4,35.0
15:48:46,28.5,35.1
15:48:51,28.5,35.1
15:48:56,28.4,35.2
15:49:01,28.4,35.2
15:49:06,28.4,35.1
15:50:11,28.5,35.3
15:50:16,28.5,35.2
15:50:21,28.5,35.1
15:50:26,28.5,35.1
15:50:31,28.5,35.2
15:50:36,28.4,35.2
15:50:41,28.5,35.2
15:56:24,28.5,35.0
15:56:29,28.5,35.2
15:56:34,28.5,34.5
15:56:39,28.5,34.7
15:56:44,28.5,34.9
15:56:49,28.5,35.1
15:56:54,28.5,35.1
15:57:32,28.5,35.1
15:57:37,28.5,35.2
15:57:42,28.5,35.2
15:57:47,28.5,35.2
15:57:52,28.5,35.2
15:57:57,28.5,35.4
15:58:21,28.5,35.2
15:58:26,28.4,35.2
15:58:31,28.5,35.2
15:58:36,28.5,35.2
15:58:41,28.5,35.1
15:58:46,28.5,34.8
15:58:51,28.5,34.6
15:58:56,28.5,34.8
15:59:28,28.5,34.6
15:59:33,28.4,35.0
15:59:38,28.5,34.5
15:59:43,28.5,34.7
15:59:48,28.5,34.9
15:59:53,28.5,34.8
15:59:58,28.5,34.4
16:00:22,28.5,34.4
16:00:27,28.5,34.9
16:00:32,28.5,35.1
16:00:37,28.5,34.9
16:00:42,28.5,35.0
16:00:47,28.5,35.1
